fig	hash	detector	severity	detail
rejonowy_2016-2017_malopolskie_q3_fig1.png	0be188ec	stranded-label	high	'50' 42px outside touching the figure image
rejonowy_2016-2017_malopolskie_q3_fig1.png	0be188ec	stranded-label	high	'40' 95px outside touching the figure image
rejonowy_2017-2018_malopolskie_q3_fig1.png	3318d7a4	stranded-label	high	'\uf0b0' 20px outside touching the figure image
rejonowy_2017-2018_malopolskie_q3_fig1.png	3318d7a4	stranded-label	high	'52' 23px outside touching the figure image
rejonowy_2017-2018_malopolskie_q3_fig1.png	3318d7a4	stranded-label	high	'\uf0b0' 20px outside touching the figure image
rejonowy_2017-2018_malopolskie_q3_fig1.png	3318d7a4	stranded-label	high	'64' 23px outside touching the figure image
rejonowy_2019-2020_slaskie_q9_fig1.png	606361df	stranded-label	high	'I' 78px outside touching the figure image
rejonowy_2019_lubuskie_q17_fig1.png	f55b3d5e	stranded-label	high	'a) o 100%' 86px outside touching the figure image
rejonowy_2019_lubuskie_q17_fig1.png	f55b3d5e	stranded-label	high	'b)  o 75%' 86px outside touching the figure image
rejonowy_2019_lubuskie_q17_fig1.png	f55b3d5e	stranded-label	high	'c) o 60%' 84px outside touching the figure image
rejonowy_2019_lubuskie_q17_fig1.png	f55b3d5e	stranded-label	high	'd)  o 50%' 84px outside touching the figure image
rejonowy_2019_lubuskie_q26_fig1.png	90d565c5	stranded-label	high	'c) 2,5π' 75px outside touching the figure image
rejonowy_2019_lubuskie_q26_fig1.png	90d565c5	stranded-label	high	'd) 1,25π' 88px outside touching the figure image
rejonowy_2019_lubuskie_q28_fig1.png	b6755289	stranded-label	high	'c) 18' 86px outside touching the figure image
rejonowy_2020-2021_pomorskie_q2_fig1.png	aa7d2920	stranded-label	high	'z' 14px outside touching the figure image
rejonowy_2020_lubuskie_q11_fig1.png	c06a830f	stranded-label	high	'c) trapez' 21px outside touching the figure image
rejonowy_2020_lubuskie_q11_fig1.png	c06a830f	stranded-label	high	'd)  romb' 21px outside touching the figure image
rejonowy_2020_lubuskie_q23_fig1.png	25e39cd7	stranded-label	high	'c) 8,75' 26px outside touching the figure image
rejonowy_2020_lubuskie_q23_fig1.png	25e39cd7	stranded-label	high	'd) 4,25' 100px outside touching the figure image
rejonowy_2020_podkarpackie_q9_fig1.png	3194e011	stranded-label	high	'Wskaż zdanie fałszywe.' 32px outside touching the figure image
rejonowy_2020_podlaskie_q19_fig1.png	dafd3a3b	stranded-label	high	'3' 45px outside touching the figure image
rejonowy_2020_podlaskie_q19_fig1.png	dafd3a3b	stranded-label	high	'125' 43px outside touching the figure image
rejonowy_2020_podlaskie_q19_fig1.png	dafd3a3b	stranded-label	high	',0' 43px outside touching the figure image
rejonowy_2021-2022_malopolskie_q12_fig1.png	61854ca3	stranded-label	high	'E.  2160°' 36px outside touching the figure image
rejonowy_2021-2022_pomorskie_q2_fig1.png	97d60411	stranded-label	high	'\x01' 4px outside touching the figure image
rejonowy_2022-2023_swietokrzyskie_q9_fig1.png	bb7d015e	stranded-label	high	'P' 27px outside touching the figure image
rejonowy_2022-2023_swietokrzyskie_q9_fig1.png	bb7d015e	stranded-label	high	'F' 27px outside touching the figure image
rejonowy_2023-2024_swietokrzyskie_q8_fig1.png	419aab80	stranded-label	high	'1' 11px outside touching the figure image
rejonowy_2023-2024_swietokrzyskie_q8_fig1.png	419aab80	stranded-label	high	'2 , 0).' 19px outside touching the figure image
rejonowy_2023-2024_swietokrzyskie_q8_fig1.png	419aab80	stranded-label	high	'P' 19px outside touching the figure image
rejonowy_2023-2024_swietokrzyskie_q8_fig1.png	419aab80	stranded-label	high	'F' 19px outside touching the figure image
rejonowy_2023-2024_swietokrzyskie_q8_fig1.png	419aab80	stranded-label	high	'P' 92px outside touching the figure image
rejonowy_2023-2024_swietokrzyskie_q8_fig1.png	419aab80	stranded-label	high	'F' 92px outside touching the figure image
rejonowy_2023-2024_wielkopolskie_q7_fig1.png	bb8fb9d6	stranded-label	high	'25√3' 22px outside touching the figure image
rejonowy_2023-2024_wielkopolskie_q7_fig1.png	bb8fb9d6	stranded-label	high	'2' 42px outside touching the figure image
rejonowy_2024-2025_wielkopolskie_q13_fig1.png	b138aaa2	stranded-label	high	'2√3' 34px outside touching the figure image
rejonowy_2024-2025_wielkopolskie_q13_fig1.png	b138aaa2	stranded-label	high	'3' 53px outside touching the figure image
rejonowy_2024-2025_wielkopolskie_q13_fig1.png	b138aaa2	stranded-label	high	'6' 53px outside touching the figure image
rejonowy_2024_dolnoslaskie_q8_fig1.png	7c865f65	stranded-label	high	'5' 88px outside touching the figure image
